path	balinese	english	indonesian
clips/A-20260130164630-Adi.wav	Cara wayangé masiat, yadiastun sai maiegan ajak adinné sakewala ia tetep enu manyama ajak dadua.	"Like a puppet fight, although often quarreling with one’s younger brother, still maintaining a relationship (note: there is always a big fight scene in a wayang performance, but, afterwards, the puppets are put back in their box together; said about people who have had a fight, but who are now friendly again)."	Seperti wayang berkelahi, walaupun sering bertengkar dengan adiknya, namun ia tetap masih dua bersaudara.
clips/A-20260130164633-Adung.wav	Arang panggihin tiang wénten genah sané adung kadi puniki.	Rarely have I seen the concept so integrated like this one.	Jarang saya lihat ada tempat yang serasi seperti ini.
clips/A-20260130164635-Aeng.wav	Aeng demitne, Mbok Made! Selae tali dogen, nah, Mbok Made, nah?	You’re so stingy! Twenty five thousand, okay?	Pelit sekali, Kak Made! Dua puluh lima ribu saja, Kak Made, ya?
clips/A-20260130164638-Ageng.wav	Napi manten punika? Villané maduwé balé pasirepan asiki, kamar tamu sané ageng madaging televisi, taler kamar anggén juru kamar.	What are those features? The villa has one bedroom, a large living room with a television, and a butler's quarter.	Apa saja itu? Villa tersebut memiliki satu balai untuk tidur, kamar tamu yang besar beserta televisi, juga kamar untuk juru kamar.
clips/A-20260130164645-Aina.wav	Ainané ngalih amah-amahan di natahé.	A mother hen with her children is looking for food at the yard.	Seekor induk ayam dengan anak-anaknya mencari makan di pekarangan.
clips/A-20260130164648-Ajak.wav	(A)jak nyen gen Ibu ngajang? Ajak…ajak tiang rombongan, jak pitu.	Who do you transport it with? With ... with my group, with seven (people).	Dengan siapa saja Ibu mengangkutnya? Dengan…dengan rombongan saya, dengan tujuh (orang).
clips/A-20260130164650-Ajak.wav	Putu Damayanti ajak memene masagi ka jinenge.	Putu Damayanti, together with her mother, serves food in the jinang (small pavilion which is used for rest and to store rice in the roof).	Putu Damayanti bersama ibunya menghidangkan makanan ke lumbung.
clips/A-20260130164655-Ajanian.wav	Ajanian dogén ia maan nguluk-nguluk.	This time he can deceive.	Sekali ini saja ia dapat memperdayakan.
clips/A-20260130164658-Ajeg Bali.wav	Mabusana adat Bali nyabran rahina whraspati pinaka cihna ajeg Bali.	Dressing in Balinese customs every Thursday is a hallmark of Bali.	Berbusana adat Bali setiap hari kamis merupakan ciri ajeg Bali.
clips/A-20260130164701-Ajeng-ajengan.wav	Jeg makejang jaan..to ajeng-ajengane makejang.	Anyway its all delicious...the food is everything.	Pokoknya semua enak ..itu makanannya semuanya.
clips/A-20260130164704-Ajengan.wav	Beh, dueg gati Ayu makarya ajengan, nggih? Peh, Beli niki bisa dogen.	Wow, you are really talented cook, yes (Lit: Wow, Ayu is really a talented cook, yes)? Gee, are you kidding me (Lit: Gee, is Brother kidding me)?	wah, pintar sekali Ayu membuat makanan, ya? Duh, Kakak ini bisa saja.
clips/A-20260130164707-Aji.wav	Aji kuda nika sewane? Oh, sewane aji duang dasa tali awai, Gus.	How much is the rental fee? Oh, the rental fee is for twenty thousand for a day, Brother.	Berapa ongkos sewanya? Oh, ongkos sewanya dua puluh ribu sehari, Gus.
clips/A-20260130164709-Aji.wav	Suba keto, mara tapinin aji ngiu.	After that, we separate the seed using the bamboo tray.	Sesudah itu, baru ditampi dengan nyiru.
clips/A-20260130164712-Akah Apine.wav	Tinglis tingalina akah apiné matemu yéh pasihé.	Lightning striking the sea was clearly visible.	Dengan jelas dilihatnya kilatan api bertemu dengan air laut.
clips/A-20260130164714-Akedik.wav	Wih, suksma pisan Pekak, mangkin tiang sampun uning akedik , indik napi sane kawastanin semadi lan yoga.	Wow, thank you so much, Grandpa. Now i’ve learned about the meaning of meditation and yoga.	Wuih, terima kasih sekali, Kakek. Sekarang saya sudah sedikit mengetahui tentang yang dinamakan yoga dan semadi.
clips/A-20260130164716-Akeh.wav	Napi manten sane adol, Ibu? Yen hari Minggu tiang ngadep tipat, bubuh, kukus injin, kukus sela, pisangrai. Yen keseharian tiang bubuh manten sareng kukus sela. Oo..sira biasane ne numbas? Bih, sareng akeh. Wenten lima puluhan mablanja (te)ken tiang.	What do you sell? On Sundays I sell ketupat, porridge, steamed black sticky rice, steamed sweet potatoes, banana roasted. For my daily life, I only sell porridge with steamed sweet potatoes. Oo. Who usually buys? Wow, so many. There are fifty people who shop at my market.	Apa saja yang Ibu jual? Kalau hari Minggu saya menjual ketupat, bubur, ketan hitam dikukus, ubi dikukus, pisangrai. Kalau kesehariannya saya (menjual) bubur saja dengan ubi dikukus. Oo..siapa biasanya yang beli? Wah, berbanyak. Ada lima puluhan yang berbelanja pada saya.
clips/A-20260130164719-Akeh.wav	Nggih, nyabran dina titiang ngajahin murid nganti tigang dasa diri akehne, ring studio nyoman lan studio ketut.	Yes, everyday I teach a maximum of 30 students at Nyoman Studio and Ketut Studio.	Iya, setiap hari saya mengajari murid sampai tiga puluh orang banyaknya di Studio Nyoman dan Studio Ketut.
clips/A-20260130164723-Akeh.wav	Akuda Pak polih gajih? Tuah Sembilan ratus nika. Ten ja akeh nika. O per bulan polih sembilan ratus. Nggih, per bulan.	How much is your salary, Pak? Only 900. It isn't much. O per month you get 900? Yes, per month.	Berapa Pak dapat gaji? Hanya Sembilan ratus itu. Itu tidaklah banyak. O per bulan dapat sembilan ratus. Iya, per bulan.
clips/A-20260130164726-Aksara.wav	I Putu Suja mapi-mapi nuturin tur ngajahin timpalne ane suba dueg mamaca aksara Bali. Saja buka ngajahin bebeke nglangi.	I Putu Suja pretended to explain and teach his friend who was already well versed in Balinese alphabets. It's like teaching swimming to a duck.	I Putu Suja berpura-pura menjelaskan dan mengajari temannya yang sudah pandai membaca aksara Bali. Sungguh seperti mengajari bebek berenang.
clips/A-20260130164729-Alas.wav	Sang Prabu lunga maboros ka alasé.	The King went hunting in the forest.	Sang Raja pergi berburu ke hutan.
clips/A-20260130164733-Alase.wav	Alasé kagalgal. Punyan-punyanan kayuné telah bah.	Forests have been clearcut. Trees have been felled.	Hutan telah gundul. Pohon-pohon kayu habis dibabat.
clips/A-20260130164736-Alep.wav	I Cupak munyinné pragat nyapa kadi aku, melénan pesan ajak adinné I Grantang ané alep tur munyinné setata ngliangin anak lén. Tuah saja, nyuh aijeng sing ja patuh.	Cupak's words always arrogant. In contrast to his little brother, Grantang, he was calm and always pleases others. It is true that a cluster of coconut doesn't have the same quality of coconuts (refers to children of the same parents not all being alike).	Cupak bicaranya selalu bersombong. Berbeda sekali dengan adiknya Grantang yang kalem dan perkataannya selalu menyenangkan orang lain. Benar saja, kelapa setandan tidaklah sama.
clips/A-20260130164738-Alih.wav	Yén alih aji potongan, ia mula tusing cara modél. Kéto masih kulitné masawang selem. Sakéwala yén suba magav, Ia cager maimbuh jujur. Buka pengit-pengitan serané, gedé gunané.	If we look at her appearance, for sure she doesn't look like a model. Her skin is rather dark as well. However, when she works, she is reliable and honest. As people say, shrimp paste smells awful but very useful (said about someone who looks bad but who is very good inside or useful).	Kalau dicari dari potongan, ia memang tidak seperti model. Begitu juga kulitnya agak kehitaman. Namun, kalau sudah bekerja, ia dapat diharapkan ditambah jujur. Seperti sebusuk-busuknya bau terasi, besar manfaatnya.
clips/A-20260130164744-Alus.wav	Basane makejang uleg malu nganti alus. Suud keto lantas goreng apang kanti mebo nyangluh.	We have to pulverize the spices until smooth. After that, we fry it until we can smell the aroma.	Semua bumbu tersebut diuleg dulu sampai halus. Setelah itu digoreng sampai berbau gurih.
clips/A-20260130164747-Ambahin.wav	Yen uli di Banjar Selat Tengah niki kal ke Rumah Sakit Jiwa, dija ambahin tiang uli driki, Gus?	If I want to go from this Banjar Selat Tengah to Jiwa Hospital, from here where should I go?	Kalau dari Banjar Selat Tengah ini mau ke Rumah Sakit Jiwa, dari sini saya lewat mana, Gus?
clips/A-20260130164750-Ampun.wav	Menékan malih.. oo..kénten.. lurus… ampun kénten ring Penatahan, wénten malih pertigaan.	Go up again. ooh...oh. Straight...you're already in Penatahan, there's another fork.	Naik lagi.. oo..begitu.. lurus… sudah gitu di Penatahan, ada lagi pertigaan.
clips/A-20260130164753-Ampura.wav	Ampura nika, Beli, makelo niki ngantosang. Ten punapi, Yu.	I’m sorry, you waited for so long (Lit: I’m sorry that Brother waited for so long). That’s Ok, Yu.	maaf, Kak, menunggu lama. Tidak apa-apa, Yu.
clips/A-20260130164755-Anak.wav	Wenten tuak manis, Yu? Anak sampun langah wenten sane ngadep tuak manis mangkin.	Do you have sweet palm wine, Yu (Lit. Is there sweet palm wine, Yu)? It’s very rare that someone is still selling sweet palm wine nowadays.	Ada tuak manis, Yu? Sekarang sudah jarang ada yang menjual tuak manis.
clips/A-20260130164801-Ane.wav	Ditu liu ada anak ubuh ané merluang biaya anggonne masekolah.	There are a lot of orphans who need funds for their education there.	Di sana ada banyak anak yatim piatu yang memerlukan biaya untuk mereka bersekolah.
clips/A-20260130164804-Ane.wav	Yén ada murid-murid ané..belog atau ané nakal, engkén biasané caran Pak ngo(rah)in? Hukum Pak atau éngkén?	If you had a student that was...stupid or naughty, in what way would you handle it? Would you punish him or what?	Kalau ada murid-murid yang..bodoh atau yang nakal, bagaimana biasanya cara Pak menasihati? Pak menghukumnya atau bagaimana?
clips/A-20260130164807-Anehang.wav	Nah, to anehang nak to nak e …sumping kuang. Aa, ne anu ne…ne prabot ne…Aa, ne anehang..To…ne ngajanang buin pat sing maan sumping.	Yes, separate that one…less of nagasari cake. Yes, this is …this is the utensils… Yes, separate this.. Those…another four (offerings) which belong to the north do not get nagasari cakes.	Ya, itu sisihkan lah yang itu …kue nagasari kurang. Ya, ini anu ini…ini perabotnya… Ya, ini sisihkan..Itu…yang ke utara lagi empat tidak mendapat nagasari.
clips/A-20260130164810-Anget.wav	Nggih durusang, Beli, mumpung kari anget.	Please help yourself, Brother, while it’s still warm.	Silakan, Kak, mumpung masih hangat.
clips/A-20260130164813-Angga.wav	Apang iraga uning sane encen watek angga sane kekeh tur uning ring kawigunan gerakan-gerakan punika.	So we know which part of our body has contractations and what's the function of each movement.	Agar kita tahu bagian anggota badan yang kaku dan mengetahui manfaat gerakan-gerakan tersebut.
clips/A-20260130164815-Anggara.wav	Punapi yéning ring Anggarane jam siki tengai? Nggih durusang. Yaning jagi mrika, dados nganggén taksi.	How about next Tuesday at one o’ clock midday? Yes, that's fine. If you decided to go there, you can take a taxi.	Bagaimana kalau Selasa jam satu siang? Iya, silakan. Kalau hendak ke sana, bisa pergi menggunakan taksi.
clips/A-20260130164818-Anggara.wav	Tiang demen main piano. Tiang malajah main piano sabilang dina Anggara.	I like playing piano. I learn to play piano every Tuesday.	Saya senang bermain piano. Saya bermain piano setiap hari Selasa.
clips/A-20260130164821-Angge.wav	Om Swastiastu. Elingang, Basa Bali nika, anggé ring Puri, ring jumah, ring balé banjar.	Peace be with you. Remember, use the Balinese language in the temple, at home, in the community.	Om Swastiastu. Ingat terus berbahasa Bali di Puri, di rumah, di balai banjar.
clips/A-20260130164824-Anggena.wav	Kawéntenan tiingé puniki wantah becik anggén sarana ngajegang kaasrian palemahané.	The existence of this bamboo is excellent as a means of preserving the environment.	Keberadaan bambu ini sangat baik sebagai sarana menjaga kelestarian lingkungan
clips/A-20260130164826-Anggena.wav	Nika…nggih…usaha ternak. Punika titiang…ring wawidangan..e..nika ternak ayam. E…nika sané …napi wastané nika..anggén menyambung hidup titiang ring désa.	That's ... yes ... livestock business. That's me ... in the area ... e ... it's chicken. E ... that's what ... what is that name ... used to live my life in the village.	Itu…ya…usaha ternak. Itu saya …di wilayah..e..itu ternak ayam. E…itu yang …apa namanya itu..dipakai menyambung hidup saya di desa.
clips/A-20260130164830-Anggo.wav	Untuk galah, tusing je kawatesin. Panti asuhan ento nyediang tongos anggo iraga ngaé pameran ditu.	There is no deadline (Lit. For a deadline, there hasn't been said). The orphanage provides a venue for us to use for the exhibition.	Untuk waktunya, tidak dibatasi sih. Panti asuhan tersebut menyediakan tempat untuk kita berpameran di sana.
clips/A-20260130164832-Anggona.wav	E..anggona ngidupin tiang padidi.	Eh...I use it to support myself.	E..dipakai menghidupi saya sendiri.
clips/A-20260130164835-Angin.wav	Tur anginé seger ngasirsir. Pantes akéh sané seneng mlajah yoga iriki. Ia sirsir angin negakin sepeda	Also the air flow is so fresh. No wonder many people are interested to learn yoga in here.	Dan anginnya segar semilir. Pantas banyak yang senang belajar yoga di sini.
clips/A-20260130164838-Angkid.wav	Yen suba lebeng taluhe, angkid, lantas mem di waskome ane misi yeh nyem. Suud keto mara telahang kulit taluhe.	After they're done, remove them, and then soak them in a basin that is full of cold water. After that, remove the skin from egg.	Kalau telurnya sudah matang, angkat, lalu direndam di baskom yang berisi air dingin. Setelah itu baru kupas kulit telurnya.
clips/A-20260130164843-Angkihan.wav	Engsek angkihane Juliana ningehang tunangane ngajak anak muani lenan.	Shortness of breath Juliana heard her boyfriend with another man	Sesak nafas Juliana mendengar pacarnya bersama laki-laki lain
clips/A-20260130164902-Antuk.wav	Nggih, titiang mawasta I Made Yasana. Titiang dados prajuru ring adat Selat Tengah. E..sane mangkin titiang wenten rerincikan utawi jagi wewangunan nika ring Pura Penataran. Nika…e..polih dana…akedik ring pemerintahan. Punika taler timpalin antuk urunan ring krama. Nika sane jagi kaambil titiang.	OK … my name is I Wayan Yasana. I am an official in the village of Selat Tengah. Er .. now I have a plan or there will be some building in Pura Penataran . That … er … has got funding … a little from the government. So …. along with contributions from the community. That’s what I will bring.	Baik, nama saya I Made Yasana. Saya menjadi prajuru di adat Selat Tengah. E..sekarang saya ada perencanaan atau akan ada pembangunan itu di Pura Penataran. Itu…e..mendapat dana…sedikit di pemerintahan. Maka dari itu disertai dengan urunan dari warga. Itu yang akan saya ambil.
clips/A-20260130164905-Antuk.wav	Oh, nah kemu majalan. Nggih, suksma, Beli antuk piorah Beline. Titiang mapamit dumun. Nggih, lautang.	Oh Ok, please go ahead. Yes, thank you for your information. Please excuse me now. Yes, please go ahead.	Oh, ya,silakan lanjutkan perjalanan. Iya, terima kasih, Kak, atas informasinya. Saya pamit dulu. Iya, silakan.
clips/A-20260130164907-Anut.wav	Napi malih sane patut siagayang tiang? Angge kuaca sane anut tur lemes, lan tikeh anggen tatakan malinggih.	Is there anything else i should prepare? Wear a flexible outfit, and have a mat as a base.	Apa lagi yang sebaiknya saya siapkan? gunakan pakaian yang pantas dan lentur, serta matras untuk alas duduk.
clips/A-20260130164910-Anyar.wav	Sarana napi manten ane becik punika? Yening Bli Putra seneng ma-olahraga, wenten genah angge muruk sane anyar.	What are those facilities? If you enjoy exercising, we have a brand new fitness center.	Fasilitas apa saja yang bagus itu? Kalau Kak Putra senang berolah raga, ada tempat latihan yang baru.
clips/A-20260130164913-Anyi.wav	Ane paling maluna, anyi padiné. Lantas gedig apang telah ulung woh padiné.	At the beginning, cut the rice stick. Hit the stick into the basket until all the seeds are fall off.	Terlebih dahulu, panen padinya. Lantas dipukul-pukul agar buah padinya habis berjatuhan.
clips/A-20260130164916-Anyudang.wav	Liu punyan kayuné anyudang blabar.	Many trees were carried away by the rains.	Banyak pohon yang dihanyutkan oleh banjir.
clips/A-20260130164919-Apa.wav	Apa dogen lakar basan be siap sambel matahe?	What are the ingredients for the chicken with raw chili sauce?	Apa saja bahan bumbu daging ayam sambal matah itu?
clips/A-20260130164922-Apabuin.wav	Apabuin misi kuah cundang, jeg jaan sajan!	What else contains chicken gravy, just delicious!	Apa lagi berisi kuah daging ayam aduan, pokoknya enak sekali!
clips/A-20260130164925-Apang.wav	Jeg, jaan sajan rasane. Sampun keto, be siape sisit malu, apang nyidaang mabesikan teken basan sambel matahe.	Guaranteed, the taste will be delicious. After that, shred the chicken first, so it will blend nicely with the raw chili sauce.	Pokoknya, enak sekali rasanya. Sesudah itu, suwir dulu daging ayamnya, agar bisa menyatu dengan bumbu sambal matahnya.
clips/A-20260130164927-Apinpin.wav	Jemak padine apinpin.	Take a bunch of rice.	Ambil padi itu seikat.
clips/A-20260130164930-Aprancak.wav	Ia ngaba paet aprancak. Ditu ia ngukir kayu ngajak ajak timpalné.	He carries a set of chisels. There he carved wood with his friend.	Dia membawa seperangkat pahat. Di sana dia memahat kayu bersama temannya.
clips/A-20260130164941-Arep.wav	Wau tiang polih manggihin ring arep, wenten wit sarwa taru usada.	A while ago I saw in the front yard, many herbal plants.	Barusan saya sempat melihat di depan, ada beragam tanaman obat-obatan.
clips/A-20260130165034-Arta brana.wav	Men Sugih mapi-mapi ngemaang tulung marupa baas teken Men Tiwas. Nanging, disubane Men Tiwas nyak ngidih, baasne tagiha aji arta brana ane ajine luihan teken baas. Sajaan Men Sugih, olas papa.	"Men Sugih ontensibly helped Men Tiwas by giving her some rice. But when Men Tiwas received the rice, Men Sugih would ask for something in return which cost more than the rice. Men Sugih is really ""olas papa"" (helping with mean intension, refers to a person who pities someone else and offers to help him and then takes advantage of that person)."	Ibu Sugih pura-pura memberikan pertolongan berupa beras pada Ibu Tiwas. Akan tetapi, sesudah Ibu Tiwas mau meminta, berasnya diminta (kembali) dengan harta benda yang harganya lebih tinggi dari beras. Sungguh, Ibu Sugih olas papa (menolong dengan niat jahat).
clips/A-20260130165038-Arti.wav	Kenkenne, yen sukla kan artine kan maturan ane nu bersih keto?	What is this, the word sukla means to offer something which is pure, right?	Apa ini, kalau sukla itu artinya sesajen yang bersih kan?
clips/A-20260130165041-Asep.wav	O memang drika ring tengah kawah ampun wenten asap. Tanggal 19 tiang munggah muncul 4 titik asep. Setelah nika, pun kenten tanggal 29 asap nika menambah malih 4, kenten.	Yeah ... sure ... there in the centre of the crater there is smoke. On the 19th I went up and there were 4 points where smoke was coming out. After that .... on the 29th there were 4 more. That's how it was.	O memang di sana di tengah kawah sudah ada asap. Tanggal 19 saya naik muncul 4 titik asap. Setelah itu, sudah begitu tanggal 29 asap itu bertambah lagi 4, begitu.
clips/A-20260130165044-Asil.wav	Punapi Ayu, asil karya para pelukis sane kapajang ring Museum Neka niki?	Ayu, what do you think about the artworks that is displayed in the Neka Museum?	Bagaimana Ayu, hasil karya para pelukis yang dipajang di Museum Neka ini?
clips/A-20260130165047-Astungkara.wav	Om Swastyastu, tiang saking Karangasem, uling Desa Seraya Timur, tiang driki jagi masekolah. Dumogi Gunung Agunge nenten meletus. Astungkara.	Om Swastyastu, I am from Karangasem, from Seraya Timur village, I am here to study. I wish Gunung Agung will not explode. Amen.	Om Swastyastu, saya dari Karangasem, dari Desa Seraya Timur, saya disini mau bersekolah. semoga Gunung Agung tidak meletus. Amin.
clips/A-20260130165049-Aukud.wav	Yen sajabaning nyemak gae nandur padi, apa (do)gen buin jemak Pak gaene di jumah? Tiang tuah ngaritan, mamula. Oo, ngaritan napi, Pak? Sampi…tiang ngubuh aukud.	-	Kalau selain mengambil pekerjaan menanam benih padi, pekerjaan apa saja lagi yang Pak ambil di rumah? Saya hanya mengarit (rumput), menanam. Oo, mengarit (untuk) apa, Pak? Sapi…saya memelihara seekor.
clips/A-20260130165052-Awai.wav	Bih, kenyel cara.. triplek awak tiange. Maan ngoyong awai jeg uug awak tiange.	Wow, I'm as tired as... a piece of plywood. For a day I suddenly felt myself coming apart at the seams.	Wah, lelah seperti.. triplek badan saya. Dapat diam sehari bisa-bisa spontan ”hancur” badan saya.
clips/A-20260130165058-Awig-awig.wav	Buka ngemuduhang tuak sekele, I Made Sutama ane dadi krama banjar nagih menahin awig-awig desa ane suba cumponinne teken banjare.	Like overdrinking palm wine, Made Sutama wants to improve village regulations that has proven to be effective in his neighbourhood.	Seperti tergila-gila pada segelas tuak, Made Sutama yang hanya anggota banjar mau memperbaiki peraturan desa yang sudah cocok untuk banjar.
clips/A-20260130165101-Ayah.wav	Penyuluh basa Bali Kabupaten Tabanan nglaksanayang parikrama ngaturang ayah iriki ring Pura Luhur Pakendungan sane magenah ring desa Beraban kecamatan Kediri, Tabanan.	The Balinese language counsellors of Tabahan Regency perform their costumary volunteering work here at Pakendungan's Holy Temple in Beraban village, district of Kediri, Tabanan.	Penyuluh Bahasa Bali Kabupaten Tabanan melaksanakan tradisi ngaturang ayah (bekerja tanpa mengharap upah) di sini di Pura Luhur Pakendungan yang bertempat di Desa Beraban Kecamatan Kediri, Tabanan.
clips/A-20260130165106-Ayu.wav	Ayu pisan rupan dewi Sinta.	Dewi Sinta is so beautiful.	Cantik sekali wajah dewi Sinta.
clips/B-20260130164557-Baan.wav	Ne jani, isinin ngiune baan padi. Eda bes bek, nyanan telah ulung padine.	Now, fill the bamboo tray with rice, but don’t put too much, or a lot off rice will fall off late.	Sekarang, isi nyiru dengan gabah. Jangan terlalu banyak, nanti berjatuhan gabahnya.
clips/B-20260130164602-Baang.wav	Nah, suba pitung tali gen. Baang lebihan bedik, nah?	Okay, seven thousand is a deal. Just give me a few extra, okay?	Ya, sudah tujuh ribu saja. Kasih lebih sedikit, ya?
clips/B-20260130164607-Baat.wav	Yening tiang meled ngirangin baat awak tiange, napi tambane?	If I would like to lose weight, what is the medicine?	Kalau saya ingin mengurangi berat badan, apa obatnya?
clips/B-20260130164609-Babad.wav	Sabilang rainan, makejang nyaman-nyaman tiange sareng mabakti mrika. Mih, Beli, kari maduwe babad sareng lelintihan punika?	Every temple ceremony, all of my family prays there. Wow, do you still have the Babad (ancient chronicle of family origin)?	Setiap hari raya, semua saudara-saudara saya sembahyang bersama-sama ke sana. Wah, Kakak, masih memiliki sejarah dan uraian ceritanya itu?
clips/B-20260130164612-Babak belur.wav	Krana ento lantas Ni Kesuna ngorahin memene nigtig ukudane apang kanti babak belur. Sasubane katigtig lantas ia ngeling sengu-sengu ka tukade, katemu teken I kedis crukcuk kuning.	That’s why, Ni Kesuna told her mother to beat her up until she was covered in bruises. After that, she went away crying, and met with the yellow vented bulbul (songbird).	Oleh karena itu, lalu Ni Kesuna memberitahu ibunya untuk memukulinya agar sampai babak belur. Sesudah dipukuli, lantas ia menangis tersedu-sedu, bertemu dengan burung merbah kuning.
clips/B-20260130164627-Badelod.wav	Ombaké tegeh gati di pasihé badelod.	The waves are very high on the south coast.	Ombaknya tinggi sekali di pantai selatan.
clips/B-20260130164629-Bagia.wav	Semadine ento pinaka jalan iraga nunggilan idep, apang cening nyidayang nepukin rasa bagia. Makumpul ajak kulawarga pinaka cihna iraga nemu bagia	Meditation is one of many techniques to increase concentration, so you’ll achieve happiness.	Semadi itu seumpama jalan kita, menyatukan pikiran agar Ananda mampu menemukan rasa bahagia.
clips/B-20260130164631-Bajang.wav	Ngelimuran manah ngalih anak bajang	Brightening up mood checking out the girls.	Menghibur hati, mencari anak gadis.
clips/B-20260130164634-Bakat.wav	Sisan padine ane suba magedig ento, buin gedig bareng-bareng ajak tukang punuhe, apang makejang telah bakat padine.	The second labor will hit the remaining of the rice sticks, so that all of the seeds could be collected.	Sisa padi yang sudah dipukul-pukul tadi, dipukul-pukul lagi bersama tukang pungut rontokan sisa padi, agar didapat semua gabahnya.
clips/B-20260130164636-Bale.wav	Beli lakar ngumbah lima. Dija kamar mandine, Yu? Oh, ditu, di samping bale delode.	I am going to wash my hands. Where is the bathroom, Yu? Oh, right there, next to the south building.	Kakak hendak mencuci tangan. Di mana kamar mandi, Yu? Oh, di sana, di samping bale delod.
clips/B-20260130164642-Bale bengong.wav	Malih wenten les sane luas, sareng kolam renang anggen pararagaan, bale bengong ring natahe, taler genah maurut anggen merebahan.	There are also a spacious terrace, a private swimming pool, a gazebo in the garden, as well as a massage bed for relaxation.	Serta ada teras yang luas, dengan kolam renang pribadi, bale bengong di pekarangan, juga sebagai tempat berbaring untuk pijat relaksasi.
clips/B-20260130164645-Baler.wav	..ngaleran sekitar tiga ratus meter, wenten malih....perempatan drika baler.	Go north around three hundred meters, there’ll be… a crossroad over there.	..ke utara sekitar tiga ratus meter, ada lagi....perempatan di utara sana.
clips/B-20260130164647-Bales.wav	Ujan bales sajan, bukun tiange belus kena tampyas.	It's raining heavily, my book is wet because the rain splashing through.	Hujan lebat sekali, buku saya basah terkena percikan hujan.
clips/B-20260130164652-Banget.wav	Suksma banget aturang titiang majeng ring Ratu.	Thank you so much I only can say to you, sir.	Saya sangat berterima kasih kepada tuan.
clips/B-20260130164654-Bangle.wav	"Ubad Sakit Sirah: Umbah duang jari Bangle sareng duang jari jahe. Kikih makesami. Tereg ring gidat; pelipis tuek baong."	A cure for headache: wash 2 pieces of Bangle and 2 pieces of Ginger and grate them together. The mixture is then applied to the forehead, the temples and down to the neck.	"Obat sakit kepala: Cucilah dua ruas bangle beserta dua ruas jahe kemudian parutlah. Setelah itu tempelkan pada kening; pelipis sampai dengan ke leher."
clips/B-20260130164657-Bani.wav	Yen..nika ten bani tiang ngukum nika. Palingan lah o(rah)in secara halus nika.	If...this I dare not punish this. At least to counsel in a refined way.	Kalau..itu tidak berani saya itu menghukum. Setidaknya dinasihati secara halus itu.
